einer der besten tatorte!,2
"ein tatort der spitzenklasse und ganz, ganz nah an der realität, denn genau so ein szenario kann sich täglich überall in deutschland ereignen!",2
ich fand ihn richtig gut . und bevor das gemaule hier gleich wieder los geht bitte ich doch die bildungsfernen rtl oder pro 7 zu schauen und sich auf deren seite  auszutauschen da ist wenigstens niveaugleichheit.,2
fand ihn auch richtig richtig gut 👍🏻,2
1 war echt klasse !!,2
"eine gute 2.....
faber sei mit euch  <3",2
gestern motzen alle und heute ist er eine 1 xd aber tatort ist definitiv besser als so was wie rosamunde pilcher,2
einer der besten tatorte überhaupt!!,2
"eine ganz klare 1. authentisch, spannend und faber wieder top in form !",2
"spitze! besonders ""faber"" spielt toll.",2
faber rockt eben!!,2
klasse.,2
"2+  
unterhaltung pur!",2
spitzenklasse!,2
"sehr, sehr spannend.",2
(1) team faber ist einfach mega!,2
seit ewigen zeiten kann ich mal wieder guten gewissens eine 1 geben! :-),2
sehr spannend!,2
"1, der dortmunder tatort war an spannung kaum zu überbieten...!",2
1 mit sternchen,2
"er lief ein bißchen  nervig und langweilig an,aber denn war er richtig spannend,und ich hoffe er wird fortgesetzt? !!??",2
eine glatte eins und so erschreckend nah an der realität,2
spanned !,2
"belastend, weil nah an der täglichen realität!",2
"ein paar unstimmigkeiten, aber durchgängig spannend mit beeindruckenden bildern!",2
1 plus mit sternchen!,2
"super gemacht, spannend bis zum schluß",2
eine eins!,2
hammer tatort!,2
war gut.note2,2
absolut eine 1!,2
1 spannend bis zum schluss,2
sehr gut.,2
gar nicht. tolle eu wenn ich in prag  nicht übers internet schauen kann,2
"spannend und überraschend, also die krimi-teile waren super, aber gerade bei tatort dortmund fiebere ich immer auch den privaten geschichten entgegen, diesmal war ja das privatleben ausgeklammert, leider. hätte aber auch nicht in den spannungsbogen gepasst, verstehe ich ;-).",2
seit längerem wieder ein guter. spannend.,2
note 1 mit ☆,2
1 - war klasse.,2
top,2
super !! note 1,2
"ein ganz starker fall. das ist sonntag abend tatort wie man es sich vorstellt.

das dortmunder team ist für mich mittlerweile eines der besten. bitte mehr davon",2
"1. aber wie kann kommissarin b. nora mitteilen, dass daniel an den flüchtigen dran ist, während der sohn daneben steht :-o da wusste man doch gleich, dass der mit drin hängt...",2
heftig,2
ne 2+,2
spannend!,2
war gut ✔,2
richtig gut!,2
super,2
spannend und gut 2+,2
2 - hätte halt nur gerne mal wieder andere themen behandelt.,2
1 super tatort,2
glatte 1! packend und realistisch. hat mir sehr gut gefallen.,2
der dortmunder tatort ist der beste! 👍,2
"1, top leistung. 😘
was wäre das team ohne faber 🤔...",2
faber ist immer top! 👍,2
super spannend 👍👍,2
ganz klar 1,2
faber einfach geil 👍🏻,2
hat mir gut gefallen 2,2
"5... hat mir überhaupt nicht gefallen, habe schon auf grund der anderen beurteilungen ein schlechtes gewissen 😇😈",2
1 mit ⭐️,2
1 mit*,2
1 mit einem furiosen ende,2
schön auf die zwölf,2
"super tatort!  sehr stimmig!  faber und konsorten waren klasse.... nur das ende.. die können dich nicht einfach mittendrin aufhören....!! 🙈.naja. die terrorgeschichte is ja auch ' ne "" never-ending-story ""...",2
1 faber  top,2
1 mit sternchen! einer der besten und spannendsten tatorte die ich je gesehen habe!,2
ganz klar 1,2
glatte 1,2
"ganz toll, spitzenmäßig",2
ich werde einfach nicht warm mit diesem tatort team,2
bravo zulu........,2
1 plus !!!,2
die dortmunder - mein absoluter favorit 👍,2
"was für ein hammerspannender tatort... 😀  das ende war nur extrem unrealistisch, weil der attentäter im wahren leben niemals so in ruhe die bombe zünden kann... kopfschuss vorher... 
ansonsten war das ein toller tatort... !!!",2
top 1,2
es passt genau zu den ereignissen der letzten wochen,2
absolut 1 !!!!,2
top 1,2
ich liebe die faber- krimis 👌👍 top!,2
ein team in hochform..... faber ei fach nur irre genial,2
note 1. spannung von anfang bis ende. 👍👍👍,2
glatte 1,2
endlich wieder ein super tatort,2
"endlich musste ich es mal nicht bereuen, den tatort eingeschaltet zu haben. 👍🏻",2
"ich fand den tatort super, habe aber eine anmerkung/nachfrage: hatte in einer der letzten tatort- umfragen eine kritische stimme darüber gelesen, dass in jedem tatort geraucht wird..und prompt fällt mir die völlig sinnlose szene auf, in der bei einer zeugenbefragung der kommissarin vom kollegen eine zigarette gereicht wird. was soll das? sind da werbegelder im spiel?",2
bester tatort seit langem. glatte 1.,2
klare 1. grandioser tatort mit dem besten team.,2
bester tatort seit langem.  glatte 1.,2
super spannender tatort! note 1!,2
super,2
note 1! faber hat sich mal wieder selbst übertroffen!!!👌🏼,2
"obwohl ich kein faber fan bin,  war ich absolut begeistert. selten so einen spannenden tatort gesehen.  note 1",2
gut,2
war coolll,2
1. spannend!,2
"glatte 1 ....die dortmunder jungs mussten nach solch einer katastrophe wieder fussball spielenden aber da gab es ja lt. uefa ""keine toten""",2
"hat mir sehr gut gefallen, spannend und fesselnd bis zuletzt, wobei ich die letzte szene unrealistisch fand. ich kann mir nicht vorstellen, dass die detonation aus nächster nähe irgendjemand überlebt. auch sind überweisungen eines bankmitarbeiters in diese höhe im alleingang nicht möglich. 
ein lob an die schauspieler!",2
faber ist für mich der beste kommissar ! nie langweilig...,2
faber-jugend!,2
"mehr faber tatorte, bitte!!!! zwischendurch köln und münster... den rest bitte mal überarbeiten;) 
leider ist tatort gucken am sonntag gesetzt, bei den anderen ""folgen"", wird es aber oft eine qual!",2
ganz klar eine 1,2
top!!!,2
eine 1,2
das team  faber einfach klasse. eine glatte  1,2
hat mir sehr gut gefallen,2
ein tatort der besser nicht ging . er hat mich fassungslos und still am schluss gemacht.,2
"1 sehr spannend, tolles team!",2
glatte 1 . team faber best,2
"richtig geil gemacht ! 
top leistung",2
1 super tatort,2
1!!!! wirklich ein sehr guter tatort,2
mel anie... wie war er?!,2
👍🏼 wirklich ein sehr guter tatort!,2
war gut,2
"1 mit stern
endlich mal wieder ein tatort der den namen auch verdient",2
"ein super tatort....spannend bis zur letzten minute, obwohl ich gleich wusste, dass der sohn damit drin hängt. 👍👍👍👍",2
beste tatort 2017 schon!,2
spannend,2
1! bitte mehr aus dortmund.,2
weiter so 😎,2
1a,2
1*,2
puh! war spitze! harter tobak!,2
1+++,2
ne glatte 1,2
1 super spannend bis zum schluss!!!!! könnte sogar nicht einschlafen!hat mich so beschäftigt!!!👍,2
6 minus,2
"runde sache, top!",2
"absolut spitze der tatort, note +1",2
1 plus,2
super tatort,2
ich geiler tatort. .....der sehr nachdenklich macht,2
"wenn man faber liebt ein spitzentatort-
er ist so schön wirr-für mich mit axel prahl einer der besten♡",2
gut,2
sensationell 1plus,2
war echt spannend...gut,2
note 6 👎,2
"gute story eigentlich 
das dämliche geschrei der darsteller hat die story zur lächerlichkeit degradiert. was gut anfing und im entsetzen endete war leider in der mitte viel zu dünn und dilettantisch-sorry",2
"spannend bis zum schluss - und man hatte die möglichkeit, es auch aus einem anderen blickwinkel zu betrachten. meine anerkennung!!",2
🖒 sehr guter tatort..war echt spannend,2
fa - ber - haft!,2
"voll verrückt und richtig spannend, note 1",2
super,2
1 mit krönchen.... wirklich spannend und zugleich auch lustige dialoge. gesunde mischung aus allen bereichen der unterhaltung   emotionsgeladene episode. faber ist für mich die beste figur.,2
spitze!,2
note 1 und 90 min spannung pur 👌 die dortmunder haben das einfach klasse rüber gebracht und das thema nochmal deutlich gemacht - top leistung,2
endlich mal wieder.... top,2
die eins alles andere ist zu wenig.,2
"note 1..
ganz klar. das war kino. beste unterhaltung, spannung und grandiose mimik, gestik samt dialoge, schnitt und regie. 
top.
fabe r haft...!",2
der beste tatort seit langer zeit!,2
2,2
sehr guter tatort.,2
grottenschlecht,2
gut,2
sehr gut !!!,2
"grossartig, einer der besten filme!",2
war super!,2
glatt 1 - war sehenswert.,2
"langweilig, aber interessantes ende!",2
volle punktzahl!  top tatort . schulnote 1,2
eins mit * 👍,2
"super endlich mal wieder ein spannender tatort. das ende offen bis zum schluss. 
zum glück gibt es doch noch einen tatort, der ohne mega mystik gedreht wurde
weiter so!!! 👍👍",2
für mich gehören aber alle vier zu dortmund. auch wenn sie es selbst nicht sehen für mich ist es ein dream team ✌,2
gut .. das ende fand ich leider etwas unlogisch :(,2
